area,price_2022,price_2024,rent,listings,infra,lat,lng,municipal_score,occupancy_rate,pop_shift,rtm_price,uc_price,cagr_3y,declarations
Madhapur,5000,8000,25000,120,9,17.44,78.38,88,93,8200,9100,7200,14.6,3
Gachibowli,6000,9500,30000,150,10,17.45,78.36,91,95,9800,10800,8600,16.2,4
Kukatpally,4000,5500,18000,200,6,17.49,78.41,62,80,3100,6200,4900,9.4,1
Ameerpet,4500,6000,20000,180,7,17.43,78.44,70,82,4200,6800,5400,11.2,2
Kondapur,5200,7800,24000,135,8,17.46,78.37,82,90,7400,8800,7000,13.5,3
Hitech City,7000,11000,38000,110,10,17.45,78.38,95,96,12000,12500,10200,18.4,5
Banjara Hills,8000,12000,45000,90,9,17.42,78.44,85,94,6800,13500,11000,15.8,2
Jubilee Hills,7500,11500,42000,95,8,17.43,78.41,80,92,5900,13000,10500,14.9,2
Miyapur,3500,5200,16000,220,5,17.5,78.36,55,75,2800,5900,4600,8.6,1
Nallagandla,4200,6200,20000,170,7,17.47,78.33,68,83,4500,7000,5600,10.8,2
Kokapet,5500,8800,28000,100,9,17.4,78.35,90,88,9200,9800,8200,15.2,4
HITEC Phase 2,6500,10200,35000,115,10,17.44,78.4,93,91,10500,11500,9400,17.1,4
Raidurg,4800,7200,22000,140,7,17.43,78.36,74,85,5100,8100,6500,11.8,2
Nanakramguda,5800,9000,29000,105,9,17.42,78.37,87,90,8800,10200,8400,14.4,3
Puppalaguda,4600,7000,21000,130,6,17.41,78.35,72,84,4800,7900,6200,11.4,2
